	PatID	Archaea
SRR5971387	UP40	0
SRR5971388	UP34	0
SRR5971389	UP28	0
SRR5971390	UP31	1
SRR5971391	UP25	1
SRR5971392	UP10	0
SRR5971393	UP33	1
SRR5971394	UP29	0
SRR5971395	UP40	1
SRR5971396	UP40	1
SRR5971397	UP34	1
SRR5971398	UP28	0
SRR5971400	UP31	0
SRR5971401	UP25	1
SRR5971402	UP10	0
SRR5971403	UP33	1
SRR5971404	UP33	1
SRR5971405	UP29	0
SRR5971406	UP40	1
SRR5971407	UP40	1
SRR5971408	UP34	1
SRR5971409	UP28	0
SRR5971411	UP31	0
SRR5971412	UP25	1
SRR5971413	UP10	0
SRR5971414	UP33	1
SRR5971415	UP33	1
SRR5971416	UP29	0
SRR5971417	UP40	1
SRR5971418	UP36	1
SRR5971419	UP34	0
SRR5971420	UP28	0
SRR5971422	UT04	0
SRR5971423	UT34	1
SRR5971424	UT34	0
SRR5971425	UT34	0
SRR5971426	UT45	0
SRR5971427	UT01	1
SRR5971428	UP20	0
SRR5971429	UT31	0
SRR5971430	UT51	0
SRR5971431	UT29	0
SRR5971432	UT46	0
SRR5971433	UT30	0
SRR5971434	UT45	0
SRR5971435	UT13	0
SRR5971436	UT45	0
SRR5971437	UT29	0
SRR5971438	UT20	0
SRR5971439	UT38	0
SRR5971440	UT13	0
SRR5971441	UT20	0
SRR5971442	UT46	0
SRR5971443	UT21	0
SRR5971444	UT34	0
SRR5971445	UT01	1
SRR5971446	UT20	0
SRR5971447	UT52	0
SRR5971448	UT30	0
SRR5971449	UT39	0
SRR5971450	UP20	0
SRR5971451	UT35	0
SRR5971452	UT13	0
SRR5971453	UT20	0
SRR5971454	UT35	0
SRR5971455	UT34	0
SRR5971456	UT42	0
SRR5971457	UT01	0
SRR5971458	UT45	0
SRR5971459	UT29	0
SRR5971460	UT39	0
SRR5971461	UT38	0
SRR5971462	UT31	0
SRR5971463	UT01	0
SRR5971464	UT34	1
SRR5971465	UT53	1
SRR5971466	UT01	1
SRR5971467	UT29	0
SRR5971468	UT45	1
SRR5971469	UT34	0
SRR5971470	UT46	0
SRR5971471	UT01	0
SRR5971472	UT21	0
SRR5971473	UP21	0
SRR5971474	UP30	0
SRR5971475	UT42	1
SRR5971476	UT46	0
SRR5971477	UT52	0
SRR5971478	UT45	0
SRR5971479	UT45	0
SRR5971480	UT45	0
SRR5971481	UT45	0
SRR5971482	UT01	1
SRR5971483	UT32	0
SRR5971484	UP30	0
SRR5971485	UT30	0
SRR5971486	UT51	0
SRR5971487	UT12	0
SRR5971488	UT35	1
SRR5971490	UT01	0
SRR5971491	UT29	0
SRR5971492	UT29	0
SRR5971493	UT45	0
SRR5971494	UT35	0
SRR5971495	UT31	0
SRR5971496	UT30	0
SRR5971497	UT05	0
SRR5971498	UP20	0
SRR5971499	UT13	0
SRR5971500	UT42	0
